검증순서,진행률,판정,Ticker,Strategy,분할수,첫매수LOC여유율,지정가매도%,FinalAsset,Return,CAGR,MDD,WinRate,Trades,CompletedCycles,ActiveT,AvgHoldDays,ProfitFactor,StabilityScore,OverfitRisk,MDD_Worse,Score
49,31.8%,관찰,SOXL,raor4_step24q,20,13.0,25.0,15380662736,15280.66,36.63,-55.22,83.94,1158,58,3.12,3.6,4.78,68.5,보통,15.74,109.57
56,36.4%,관찰,SOXL,raor4_step24q,20,13.5,25.0,15380662736,15280.66,36.63,-55.22,83.94,1158,58,3.12,3.6,4.78,68.5,보통,15.74,109.57
63,40.9%,관찰,SOXL,raor4_step24q,20,14.0,25.0,15380662736,15280.66,36.63,-55.22,83.94,1158,58,3.12,3.6,4.78,68.5,보통,15.74,109.57
70,45.5%,관찰,SOXL,raor4_step24q,20,14.5,25.0,15380662736,15280.66,36.63,-55.22,83.94,1158,58,3.12,3.6,4.78,68.5,보통,15.74,109.57
77,50.0%,관찰,SOXL,raor4_step24q,20,15.0,25.0,15380662736,15280.66,36.63,-55.22,83.94,1158,58,3.12,3.6,4.78,68.5,보통,15.74,109.57
7,4.5%,관찰,SOXL,raor4_step24q,20,10.0,25.0,15347717659,15247.72,36.61,-55.22,83.92,1157,58,3.12,3.6,4.77,68.5,보통,15.74,109.5
78,50.6%,관찰,SOXL,raor4_step24q,40,10.0,10.0,2928558495,2828.56,23.28,-45.53,92.39,867,122,2.5,4.5,7.01,97.1,낮음,1.43,109.03
85,55.2%,관찰,SOXL,raor4_step24q,40,10.5,10.0,2928558495,2828.56,23.28,-45.53,92.39,867,122,2.5,4.5,7.01,97.1,낮음,1.43,109.03
92,59.7%,관찰,SOXL,raor4_step24q,40,11.0,10.0,2928558495,2828.56,23.28,-45.53,92.39,867,122,2.5,4.5,7.01,97.1,낮음,1.43,109.03
99,64.3%,관찰,SOXL,raor4_step24q,40,11.5,10.0,2928558495,2828.56,23.28,-45.53,92.39,867,122,2.5,4.5,7.01,97.1,낮음,1.43,109.03
106,68.8%,관찰,SOXL,raor4_step24q,40,12.0,10.0,2907688565,2807.69,23.23,-45.53,92.41,870,122,2.5,4.5,6.98,97.1,낮음,1.43,108.92
113,73.4%,관찰,SOXL,raor4_step24q,40,12.5,10.0,2907688565,2807.69,23.23,-45.53,92.41,870,122,2.5,4.5,6.98,97.1,낮음,1.43,108.92
120,77.9%,관찰,SOXL,raor4_step24q,40,13.0,10.0,2907688565,2807.69,23.23,-45.53,92.41,870,122,2.5,4.5,6.98,97.1,낮음,1.43,108.92
127,82.5%,관찰,SOXL,raor4_step24q,40,13.5,10.0,2907688565,2807.69,23.23,-45.53,92.41,870,122,2.5,4.5,6.98,97.1,낮음,1.43,108.92
