Date,Close,Action,CurrentSplit,BuyAmount,SellAmount,Shares,AvgPrice,Cash,StockValue,TotalAsset,Peak,Drawdown
2022-04-11,332.394775390625,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,86539668.66967465,303744739.6902389,319417832.3568487,-0.049067682135855474
2022-04-12,330.9906921386719,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,86174112.68502998,303379183.70559424,319417832.3568487,-0.050212126645879755
2022-04-13,337.71875,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,87925776.49329981,305130847.51386404,319417832.3568487,-0.04472820048137912
2022-04-14,329.9960327148437,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,85915151.04257905,303120222.0631433,319417832.3568487,-0.05102285671858784
2022-04-18,330.24957275390625,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,85981160.71721725,303186231.7377815,319417832.3568487,-0.050816200521120236
2022-04-19,337.6309509277344,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,87902917.82286961,305107988.84343386,319417832.3568487,-0.04479976402015064
2022-04-20,332.70672607421875,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,86620885.6766741,303825956.6972383,319417832.3568487,-0.04881341640998736
2022-04-21,325.8226928710937,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,84828613.36490452,302033684.3854688,319417832.3568487,-0.05442447543742214
2022-04-22,317.290771484375,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,82607309.94924569,299812380.96980995,319417832.3568487,-0.0613787002509486
2022-04-25,321.3665771484375,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,83668454.4010965,300873525.4216608,319417832.3568487,-0.05805657999228584
2022-04-26,309.2366943359375,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,80510414.27136785,297715485.2919321,319417832.3568487,-0.0679434423081022
2022-04-27,308.8661193847656,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,80413934.31480412,297619005.3353684,319417832.3568487,-0.06824549168290331
2022-04-28,319.8357849121094,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,83269909.46976216,300474980.4903264,319417832.3568487,-0.05930430285232056
2022-04-29,305.4435729980469,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,79522867.26970644,296727938.2902707,319417832.3568487,-0.07103515135382056
2022-05-02,310.5432434082031,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,80850577.03018878,298055648.05075306,319417832.3568487,-0.06687849625824946
