Date,Close,WeeklyRSI,WeeklyMode,PrevSplit,Action,BuySplitsToday,CurrentSplit,BuyAmount,SellAmount,Shares,Cash,StockValue,TotalAsset
2008-07-03,38.44231033325195,56.76789503005003,상승,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,90698298.78284058,113590285.38164097
2008-07-07,38.67483901977539,52.962116305611744,상승,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,91246911.91516946,114138898.51396985
2008-07-08,39.59649658203125,52.962116305611744,상승,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,93421411.11233763,116313397.71113802
2008-07-09,38.54563522338867,52.962116305611744,상승,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,90942076.84082109,113834063.43962148
2008-07-10,39.00217819213867,52.962116305611744,상승,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,92019214.77108423,114911201.36988463
2008-07-11,38.38199615478516,46.36808296885626,중립,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,90555997.41406226,113447984.01286265
2008-07-14,38.09774017333984,46.36808296885626,중립,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,89885342.25019619,112777328.84899658
2008-07-15,38.10636901855469,46.36808296885626,중립,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,89905700.58908537,112797687.18788576
2008-07-16,39.05385208129883,46.36808296885626,중립,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,92141130.80052395,115033117.39932434
2008-07-17,39.312259674072266,46.36808296885626,중립,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,92750800.94922069,115642787.54802108
2008-07-18,38.4078369140625,51.07141524808894,상승,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,90616964.42893192,113508951.02773231
2008-07-21,38.57150268554688,51.07141524808894,상승,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,91003106.8567395,113895093.4555399
2008-07-22,38.57150268554688,51.07141524808894,상승,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,91003106.8567395,113895093.4555399
2008-07-23,39.07969284057617,51.07141524808894,상승,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,92202097.81539363,115094084.41419402
2008-07-24,38.49395751953125,51.07141524808894,상승,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,90820151.81123155,113712138.41003194
2008-07-25,38.99355697631836,45.03005590188193,중립,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,91998874.43249471,114890861.0312951
2008-07-28,38.26140213012695,45.03005590188193,중립,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,90271475.67785396,113163462.27665435
2008-07-29,39.05385208129883,45.03005590188193,중립,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,92141130.80052395,115033117.39932434
2008-07-30,39.25197982788086,45.03005590188193,중립,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,92608580.58179072,115500567.1805911
2008-07-31,39.15723419189453,45.03005590188193,중립,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,92385043.86075173,115277030.45955212
2008-08-01,38.65763092041016,42.07240709783412,중립,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,91206312.23933879,114098298.83813918
2008-08-04,38.27002334594727,42.07240709783412,중립,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,90291816.01644349,113183802.61524388
2008-08-05,39.56206512451172,42.07240709783412,중립,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,93340175.76007698,116232162.35887738
2008-08-06,40.165000915527344,42.07240709783412,중립,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,94762703.4397701,117654690.0385705
2008-08-07,39.85490417480469,42.07240709783412,중립,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,94031081.26103437,116923067.85983476
2008-08-08,40.75932693481445,45.25813639216515,중립,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,96164917.78132313,119056904.38012353
2008-08-11,41.12971878051758,45.25813639216515,중립,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,97038796.32808809,119930782.92688848
2008-08-12,41.172794342041016,45.25813639216515,중립,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,97140426.01983719,120032412.61863758
2008-08-13,41.0866584777832,45.25813639216515,중립,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,96937202.63693827,119829189.23573866
2008-08-14,41.56038665771485,45.25813639216515,중립,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,98054886.24213322,120946872.8409336
2008-08-15,41.482887268066406,49.94616727913882,중립,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,97872039.19842309,120764025.79722348
2008-08-18,41.00050735473633,49.94616727913882,중립,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,96733943.2534401,119625929.85224049
2008-08-19,40.49232482910156,49.94616727913882,중립,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,95534970.2950856,118426956.89388599
2008-08-20,40.56122589111328,49.94616727913882,중립,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,95697531.0011051,118589517.59990549
2008-08-21,40.371707916259766,49.94616727913882,중립,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,95250394.55797839,118142381.15677878
2008-08-22,40.90576171875,41.17655938271261,중립,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,96510406.5324011,119402393.13120149
2008-08-25,40.04441452026367,41.17655938271261,중립,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,94478199.70386145,117370186.30266184
2008-08-26,39.99274063110352,41.17655938271261,중립,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,94356283.67442174,117248270.27322213
2008-08-27,40.25114440917969,41.17655938271261,중립,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,94965944.82296865,117857931.42176904
2008-08-28,40.57844924926758,41.17655938271261,중립,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,95738166.67753506,118630153.27633545
2008-08-29,39.72571563720703,42.50067921132933,중립,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,93726282.18728527,116618268.78608567
2008-09-02,39.23473739624024,42.50067921132933,중립,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,92567899.90461168,115459886.50341207
2008-09-03,38.864349365234375,42.50067921132933,중립,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,91694030.35799652,114586016.95679691
2008-09-04,37.60677337646485,42.50067921132933,중립,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,88726986.96797206,111618973.56677245
2008-09-05,37.425899505615234,27.507540643449857,침체,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,88300244.86433378,111192231.46313417
2008-09-08,37.35699844360352,27.507540643449857,침체,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,88137684.1583143,111029670.7571147
2008-09-09,36.56453323364258,27.507540643449857,침체,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,86267993.03504501,109159979.6338454
2008-09-10,36.86601257324219,27.507540643449857,침체,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,86979283.87534103,109871270.47414142
2008-09-11,37.55509185791016,27.507540643449857,침체,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,88605052.9382327,111497039.5370331
2008-09-12,37.40867614746094,29.45564624231189,침체,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,88259609.1879038,111151595.7867042
2008-09-15,36.24584197998047,29.45564624231189,침체,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,85516093.51876849,108408080.11756888
2008-09-16,36.530086517333984,29.45564624231189,침체,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,86186721.68218508,109078708.28098547
2008-09-17,34.635093688964844,29.45564624231189,침체,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,81715798.25825919,104607784.85705958
2008-09-18,35.806549072265625,29.45564624231189,침체,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,84479654.26598404,107371640.86478443
2008-09-19,36.9770622253418,29.80429765757941,침체,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,87241287.23670375,110133273.83550414
2008-09-22,35.23595428466797,29.80429765757941,침체,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,83133429.85645111,106025416.4552515
2008-09-23,34.968753814697266,29.80429765757941,침체,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,82503014.36242302,105395000.96122341
2008-09-24,35.2100944519043,29.80429765757941,침체,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,83072417.84083235,105964404.43963274
2008-09-25,35.77035140991211,29.80429765757941,침체,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,84394251.84435748,107286238.44315787
