Date,Close,RSI,Mode,Action,BuyAmount,SellAmount,Shares,Cash,StockValue,TotalAsset
2020-12-11,292.02557373046875,58.63836286162147,상승,매수,1000000,0.0,50822.84115944876,122157499.85044247,14841569.348200506,136999069.19864297
2020-12-18,299.96832275390625,69.64198564413675,상승,매수,1000000,0.0,54156.5264993518,121157499.85044247,16245242.420188038,137402742.2706305
2020-12-25,300.0273742675781,72.22309384915204,과열,전량매도,0,16248440.445053035,0.0,137405940.2954955,0.0,137405940.2954955
2021-01-01,304.07867431640625,72.07892266450827,과열,관망,0,0.0,0.0,137405940.2954955,0.0,137405940.2954955
2021-01-08,309.2058410644531,72.79542981812546,과열,관망,0,0.0,0.0,137405940.2954955,0.0,137405940.2954955
2021-01-15,302.2565612792969,64.03977683963572,상승,매수,1000000,0.0,3308.4476173735097,136405940.2954955,1000000.0,137405940.2954955
2021-01-22,315.39898681640625,67.70093963361047,상승,매수,1000000,0.0,6479.034847516072,135405940.2954955,2043481.0264547581,137449421.32195026
2021-01-29,304.87353515625,63.44276865933003,상승,매수,1000000,0.0,9759.083407609989,134405940.2954955,2975286.25836276,137381226.55385828
2021-02-05,321.1561279296875,77.3264437174174,과열,전량매도,0,3134189.4393308843,0.0,137540129.7348264,0.0,137540129.7348264
2021-02-12,326.0892944335937,72.48999272684487,과열,관망,0,0.0,0.0,137540129.7348264,0.0,137540129.7348264
2021-02-19,320.8266296386719,71.16302862700373,과열,관망,0,0.0,0.0,137540129.7348264,0.0,137540129.7348264
2021-02-26,304.4664001464844,60.81355120453719,상승,매수,1000000,0.0,3284.4346683866647,136540129.7348264,1000000.0,137540129.7348264
2021-03-05,299.1745300292969,54.67804588694331,상승,매수,1000000,0.0,6626.965196978368,135540129.7348264,1982619.1983265101,137522748.93315288
2021-03-12,305.7456970214844,54.794760222420905,상승,매수,1000000,0.0,9897.657179700635,134540129.7348264,3026166.0932872696,137566295.82811365
2021-03-19,303.4971923828125,55.475837395152624,상승,매수,1000000,0.0,13192.580576351573,133540129.73482639,4003911.1652067285,137544040.90003312
2021-03-26,306.6559143066406,53.34501361121772,상승,매수,1000000,0.0,16453.564478328593,132540129.73482639,5045582.858705119,137585712.59353152
