Ticker,Strategy,split_count,sell_rsi,extreme_split,recession_split,neutral_split,boom_split,FinalAsset,Return,CAGR,MDD,WinRate,Trades,AvgHoldDays,ProfitFactor,IS_CAGR,OOS_CAGR,MDD_Worse,StabilityScore,OverfitRisk,Score
SOXX,rsi,12,80,4,3,1,1,2069078017.0,1969.08,13.0,-69.89,79.17,24,355.6,32.11,15.66,31.86,18.65,62.7,보통,45.36
SOXX,rsi,12,80,4,3,2,1,2067520054.0,1967.52,13.0,-69.89,79.17,24,355.6,32.09,15.66,31.85,18.65,62.7,보통,45.36
SOXX,rsi,12,80,4,4,1,1,2069078017.0,1969.08,13.0,-69.89,79.17,24,355.6,32.11,15.66,31.86,18.65,62.7,보통,45.36
SOXX,rsi,12,80,4,4,2,1,2067520054.0,1967.52,13.0,-69.89,79.17,24,355.6,32.09,15.66,31.85,18.65,62.7,보통,45.36
SOXX,rsi,12,80,5,1,1,1,2069078017.0,1969.08,13.0,-69.89,79.17,24,355.6,32.11,15.66,31.86,18.65,62.7,보통,45.36
SOXX,rsi,12,80,5,1,2,1,2067520054.0,1967.52,13.0,-69.89,79.17,24,355.6,32.09,15.66,31.85,18.65,62.7,보통,45.36
SOXX,rsi,12,80,5,2,1,1,2069078017.0,1969.08,13.0,-69.89,79.17,24,355.6,32.11,15.66,31.86,18.65,62.7,보통,45.36
SOXX,rsi,12,80,5,2,2,1,2067520054.0,1967.52,13.0,-69.89,79.17,24,355.6,32.09,15.66,31.85,18.65,62.7,보통,45.36
SOXX,rsi,12,80,5,3,1,1,2069078017.0,1969.08,13.0,-69.89,79.17,24,355.6,32.11,15.66,31.86,18.65,62.7,보통,45.36
SOXX,rsi,12,80,5,3,2,1,2067520054.0,1967.52,13.0,-69.89,79.17,24,355.6,32.09,15.66,31.85,18.65,62.7,보통,45.36
SOXX,rsi,12,80,5,4,1,1,2069078017.0,1969.08,13.0,-69.89,79.17,24,355.6,32.11,15.66,31.86,18.65,62.7,보통,45.36
SOXX,rsi,12,80,5,4,2,1,2067520054.0,1967.52,13.0,-69.89,79.17,24,355.6,32.09,15.66,31.85,18.65,62.7,보통,45.36
SOXX,rsi,12,80,6,1,1,1,2069078017.0,1969.08,13.0,-69.89,79.17,24,355.6,32.11,15.66,31.86,18.65,62.7,보통,45.36
SOXX,rsi,12,80,6,1,2,1,2067520054.0,1967.52,13.0,-69.89,79.17,24,355.6,32.09,15.66,31.85,18.65,62.7,보통,45.36
SOXX,rsi,12,80,6,2,1,1,2069078017.0,1969.08,13.0,-69.89,79.17,24,355.6,32.11,15.66,31.86,18.65,62.7,보통,45.36
SOXX,rsi,12,80,6,2,2,1,2067520054.0,1967.52,13.0,-69.89,79.17,24,355.6,32.09,15.66,31.85,18.65,62.7,보통,45.36
SOXX,rsi,12,80,6,3,1,1,2069078017.0,1969.08,13.0,-69.89,79.17,24,355.6,32.11,15.66,31.86,18.65,62.7,보통,45.36
SOXX,rsi,12,80,6,3,2,1,2067520054.0,1967.52,13.0,-69.89,79.17,24,355.6,32.09,15.66,31.85,18.65,62.7,보통,45.36
