Date,Close,WeeklyRSI,WeeklyMode,Action,BuyAmount,SellAmount,Shares,Cash,StockValue,TotalAsset
2002-02-28,28.49549865722656,31.524588490184428,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3430611.1600624686,97485816.10824013
2002-03-01,30.14887046813965,39.8741148294723,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3629662.8016736843,97684867.74985135
2002-03-04,31.33830070495605,39.8741148294723,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3772859.897243839,97828064.84542151
2002-03-05,31.5660400390625,39.8741148294723,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3800277.739990474,97855482.68816814
2002-03-06,31.717906951904297,39.8741148294723,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3818561.2005575756,97873766.14873524
2002-03-07,31.785377502441406,39.8741148294723,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3826684.0702933352,97881889.018471
2002-03-08,32.62050247192383,47.55488676266204,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3927225.8812936023,97982430.82947126
2002-03-11,32.50242233276367,47.55488676266204,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3913010.0555571457,97968215.00373481
2002-03-12,32.05533981323242,47.55488676266204,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3859185.1936228983,97914390.14180057
2002-03-13,31.27923393249512,47.55488676266204,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3765748.769580104,97820953.71775778
2002-03-14,31.093669891357425,47.55488676266204,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3743408.466710134,97798613.4148878
2002-03-15,31.40576934814453,38.401980510973885,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3780982.537351349,97836187.48552902
2002-03-18,31.582948684692383,38.401980510973885,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3802313.394431801,97857518.34260947
2002-03-19,31.532310485839844,38.401980510973885,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3796216.9940073458,97851421.94218501
2002-03-20,30.418811798095703,38.401980510973885,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3662161.399092491,97717366.34727016
2002-03-21,31.2286319732666,38.401980510973885,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3759656.732092409,97814861.68027008
2002-03-22,30.94183349609375,40.64377137105329,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3725128.6801950405,97780333.6283727
2002-03-25,29.997032165527344,40.64377137105329,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3611382.785530341,97666587.73370801
2002-03-26,30.2754020690918,40.64377137105329,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3644896.110188429,97700101.05836609
2002-03-27,30.03921890258789,40.64377137105329,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3616461.7031765087,97671666.65135418
2002-03-28,30.418811798095703,40.64377137105329,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3662161.399092491,97717366.34727016
2002-04-01,31.00086212158203,40.66591330461573,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3732235.2152937655,97787440.16347143
2002-04-02,29.600568771362305,40.66591330461573,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3563652.027738043,97618856.97591572
2002-04-03,29.549951553344727,40.66591330461573,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3557558.1532243444,97612763.10140201
2002-04-04,29.32218170166016,40.66591330461573,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3530136.636425701,97585341.58460337
2002-04-05,28.993188858032227,34.44668781643671,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3490528.7483691624,97545733.69654682
2002-04-08,29.355932235717773,34.44668781643671,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3534199.908319585,97589404.85649726
2002-04-09,28.335220336914062,34.44668781643671,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3411315.0389103414,97466519.98708801
2002-04-10,28.54611015319824,34.44668781643671,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3436704.345691416,97491909.29386908
2002-04-11,27.837526321411133,34.44668781643671,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3351396.9913471467,97406601.93952481
2002-04-12,28.27616310119629,28.17346827430947,침체,매수,400000,0.0,134537.5270956374,93655204.94817767,3804205.059387858,97459410.00756553
2002-04-15,28.503925323486328,28.17346827430947,침체,매수,400000,0.0,148570.68201940547,93255204.94817767,4234847.625540567,97490052.57371823
2002-04-16,29.69335174560547,28.17346827430947,침체,매수,400000,0.0,162041.71093614603,92855204.94817767,4811561.520286708,97666766.46846437
2002-04-17,29.54152107238769,28.17346827430947,침체,매수,400000,0.0,175581.97512971453,92455204.94817767,5186958.6182259135,97642163.56640358
2002-04-18,28.97633171081543,28.17346827430947,침체,매수,400000,0.0,189386.34498549928,92055204.94817767,5487721.553798754,97542926.50197642
2002-04-19,29.06911277770996,32.996245942791575,중립,관망,0,0.0,189386.34498549928,92055204.94817767,5505293.020941764,97560497.96911943
2002-04-22,28.335220336914062,32.996245942791575,중립,관망,0,0.0,189386.34498549928,92055204.94817767,5366303.813966942,97421508.76214461
2002-04-23,27.845945358276367,32.996245942791575,중립,관망,0,0.0,189386.34498549928,92055204.94817767,5273641.81406989,97328846.76224756
2002-04-24,27.41573143005371,32.996245942791575,중립,관망,0,0.0,189386.34498549928,92055204.94817767,5192165.170641948,97247370.11881961
2002-04-25,27.348249435424805,32.996245942791575,중립,관망,0,0.0,189386.34498549928,92055204.94817767,5179385.002326848,97234589.95050451
2002-04-26,26.184139251708984,31.077644213932142,중립,관망,0,0.0,189386.34498549928,92055204.94817767,4958918.429472511,97014123.37765017
2002-04-29,26.251615524291992,31.077644213932142,중립,관망,0,0.0,189386.34498549928,92055204.94817767,4971697.514110251,97026902.46228792
2002-04-30,26.766189575195312,31.077644213932142,중립,관망,0,0.0,189386.34498549928,92055204.94817767,5069150.812835214,97124355.76101288
2002-05-01,26.62278175354004,31.077644213932142,중립,관망,0,0.0,189386.34498549928,92055204.94817767,5041991.329649589,97097196.27782725
2002-05-02,25.737058639526367,31.077644213932142,중립,관망,0,0.0,189386.34498549928,92055204.94817767,4874247.466417366,96929452.41459504
2002-05-03,25.08750915527344,28.367440237673947,침체,매수,400000,0.0,205330.5344833203,91655204.94817767,5151231.663707487,96806436.61188516
