검증순서,진행률,판정,Ticker,Strategy,분할수,첫매수LOC여유율,지정가매도%,FinalAsset,Return,CAGR,MDD,WinRate,Trades,CompletedCycles,ActiveT,AvgHoldDays,ProfitFactor,StabilityScore,OverfitRisk,MDD_Worse,Score
28,18.2%,관찰,SOXL,raor4_step24p,20,11.5,25.0,11028987614,10928.99,33.84,-55.38,83.55,1161,58,3.12,3.6,4.5,68.8,보통,15.59,102.66
35,22.7%,관찰,SOXL,raor4_step24p,20,12.0,25.0,11028987614,10928.99,33.84,-55.38,83.55,1161,58,3.12,3.6,4.5,68.8,보통,15.59,102.66
42,27.3%,관찰,SOXL,raor4_step24p,20,12.5,25.0,11028987614,10928.99,33.84,-55.38,83.55,1161,58,3.12,3.6,4.5,68.8,보통,15.59,102.66
49,31.8%,관찰,SOXL,raor4_step24p,20,13.0,25.0,11028987614,10928.99,33.84,-55.38,83.55,1161,58,3.12,3.6,4.5,68.8,보통,15.59,102.66
56,36.4%,관찰,SOXL,raor4_step24p,20,13.5,25.0,11028987614,10928.99,33.84,-55.38,83.55,1161,58,3.12,3.6,4.5,68.8,보통,15.59,102.66
63,40.9%,관찰,SOXL,raor4_step24p,20,14.0,25.0,11028987614,10928.99,33.84,-55.38,83.55,1161,58,3.12,3.6,4.5,68.8,보통,15.59,102.66
70,45.5%,관찰,SOXL,raor4_step24p,20,14.5,25.0,11028987614,10928.99,33.84,-55.38,83.55,1161,58,3.12,3.6,4.5,68.8,보통,15.59,102.66
77,50.0%,관찰,SOXL,raor4_step24p,20,15.0,25.0,11028987614,10928.99,33.84,-55.38,83.55,1161,58,3.12,3.6,4.5,68.8,보통,15.59,102.66
7,4.5%,관찰,SOXL,raor4_step24p,20,10.0,25.0,11003643768,10903.64,33.82,-55.38,83.53,1160,58,3.12,3.6,4.49,68.8,보통,15.59,102.59
13,8.4%,관찰,SOXL,raor4_step24p,20,10.5,22.5,10707084160,10607.08,33.6,-55.38,83.03,1137,66,3.12,3.4,4.13,68.8,보통,15.59,101.55
20,13.0%,관찰,SOXL,raor4_step24p,20,11.0,22.5,10707084160,10607.08,33.6,-55.38,83.03,1137,66,3.12,3.4,4.13,68.8,보통,15.59,101.55
27,17.5%,관찰,SOXL,raor4_step24p,20,11.5,22.5,10707084160,10607.08,33.6,-55.38,83.03,1137,66,3.12,3.4,4.13,68.8,보통,15.59,101.55
34,22.1%,관찰,SOXL,raor4_step24p,20,12.0,22.5,10707084160,10607.08,33.6,-55.38,83.03,1137,66,3.12,3.4,4.13,68.8,보통,15.59,101.55
41,26.6%,관찰,SOXL,raor4_step24p,20,12.5,22.5,10707084160,10607.08,33.6,-55.38,83.03,1137,66,3.12,3.4,4.13,68.8,보통,15.59,101.55
48,31.2%,관찰,SOXL,raor4_step24p,20,13.0,22.5,10707084160,10607.08,33.6,-55.38,83.03,1137,66,3.12,3.4,4.13,68.8,보통,15.59,101.55
55,35.7%,관찰,SOXL,raor4_step24p,20,13.5,22.5,10707084160,10607.08,33.6,-55.38,83.03,1137,66,3.12,3.4,4.13,68.8,보통,15.59,101.55
62,40.3%,관찰,SOXL,raor4_step24p,20,14.0,22.5,10707084160,10607.08,33.6,-55.38,83.03,1137,66,3.12,3.4,4.13,68.8,보통,15.59,101.55
69,44.8%,관찰,SOXL,raor4_step24p,20,14.5,22.5,10707084160,10607.08,33.6,-55.38,83.03,1137,66,3.12,3.4,4.13,68.8,보통,15.59,101.55
76,49.4%,관찰,SOXL,raor4_step24p,20,15.0,22.5,10707084160,10607.08,33.6,-55.38,83.03,1137,66,3.12,3.4,4.13,68.8,보통,15.59,101.55
6,3.9%,관찰,SOXL,raor4_step24p,20,10.0,22.5,10585079087,10485.08,33.5,-55.38,83.01,1136,66,3.12,3.4,4.12,68.8,보통,15.59,101.31
4,2.6%,관찰,SOXL,raor4_step24p,20,10.0,17.5,8521148533,8421.15,31.72,-69.13,79.69,1019,97,2.5,2.9,4.2,43.6,높음,28.21,73.37
11,7.1%,관찰,SOXL,raor4_step24p,20,10.5,17.5,8521148533,8421.15,31.72,-69.13,79.69,1019,97,2.5,2.9,4.2,43.6,높음,28.21,73.37
18,11.7%,관찰,SOXL,raor4_step24p,20,11.0,17.5,8521148533,8421.15,31.72,-69.13,79.69,1019,97,2.5,2.9,4.2,43.6,높음,28.21,73.37
25,16.2%,관찰,SOXL,raor4_step24p,20,11.5,17.5,8521148533,8421.15,31.72,-69.13,79.69,1019,97,2.5,2.9,4.2,43.6,높음,28.21,73.37
32,20.8%,관찰,SOXL,raor4_step24p,20,12.0,17.5,8521148533,8421.15,31.72,-69.13,79.69,1019,97,2.5,2.9,4.2,43.6,높음,28.21,73.37
